Date,Energy1,Energy2,Energy3,Total,Occupancy,PerCapitaEnergy,PeakPower1,PeakPower2,PeakPower3
05/02/2014,27075.75,11007.25,3587.0625,41670.0625,9,4630.00694444,9605.125,1043.40405273,653.100585938
05/01/2014,54160.0,10703.25,4000.375,68863.625,10,6886.3625,10654.3369141,1057.36181641,725.342224121
04/30/2014,35752.5,11321.875,3547.4375,50621.8125,8,6327.7265625,11543.4638672,815.234680176,693.726196289
04/29/2014,59178.75,10658.875,4885.4375,74723.0625,9,8302.5625,11619.8916016,1110.31933594,746.52746582
04/28/2014,29350.25,11236.375,6159.75,46746.375,10,4674.6375,10157.8544922,1106.76379395,908.619873047
04/27/2014,44099.25,0.125,3445.0,47544.375,7,6792.05357143,12502.3798828,1099.640625,683.794799805
04/26/2014,23709.25,9495.0,1002.4375,34206.6875,9,3800.74305556,12200.1982422,533.305053711,213.276794434
