current,A1,A2,A3,voltage,power,frequency
214.399551392,239.685012817,189.003952026,214.509765625,248.16809082,157.679828125,50.2406044006
213.974365234,239.707839966,188.996826172,213.218444824,248.202148438,157.672546875,50.2407226562
215.247161865,239.782043457,190.790863037,215.168563843,248.190765381,158.1851875,50.2389297485
217.621139526,243.63848877,192.825622559,216.399291992,248.214828491,160.290328125,50.2399787903
215.202468872,240.316467285,190.720932007,214.569976807,248.199981689,158.6633125,50.2390632629
215.214691162,240.361129761,190.73828125,214.544723511,248.227493286,158.067921875,50.238445282
215.1824646,240.316238403,190.710678101,214.520446777,248.210159302,158.058109375,50.2374725342
215.193557739,240.364120483,190.703262329,214.513305664,248.231887817,158.078796875,50.2382011414
215.166061401,240.327529907,190.672576904,214.498077393,248.213043213,158.0681875,50.236076355
214.847961426,240.343536377,189.698394775,214.501937866,248.237121582,158.06503125,50.2329483032
214.837234497,240.296386719,189.733398438,214.4818573,248.22505188,158.052359375,50.2328147888
214.855545044,240.338928223,189.754699707,214.472991943,248.255889893,158.068375,50.2342185974
214.841659546,240.314620972,189.749252319,214.461120605,248.250534058,158.050171875,50.2316741943
214.235809326,240.308959961,187.978912354,214.419525146,248.264572144,157.35221875,50.2308578491
214.747665405,240.306655884,189.55670166,214.379669189,248.274459839,157.83175,50.2278709412
214.392028809,240.308303833,188.479202271,214.388549805,248.281616211,157.828140625,50.223072052
214.369934082,240.257980347,188.474395752,214.377456665,248.302108765,157.80403125,50.2233886719
214.371383667,240.223846436,188.518554688,214.371688843,248.302597046,157.7888125,50.2211303711
214.378372192,240.217544556,188.547775269,214.369827271,248.298782349,157.77903125,50.2189025879
214.373306274,240.224685669,188.558242798,214.336990356,248.309082031,157.76528125,50.2194747925
214.382568359,240.22845459,188.565490723,214.353775024,248.292129517,157.75884375,50.2168617249
214.41204834,240.288360596,188.588516235,214.35925293,248.30657959,157.772515625,50.2190322876
214.402664185,240.283493042,188.597930908,214.326568604,248.305709839,157.762703125,50.2180099487
214.407028198,240.31413269,188.612930298,214.294021606,248.310562134,157.758546875,50.2138366699
214.428192139,240.337783813,188.654129028,214.292709351,248.299026489,157.762484375,50.2152557373
214.436706543,240.353393555,188.660140991,214.296600342,248.303512573,157.758765625,50.215133667
214.421020508,240.355560303,188.641616821,214.265869141,248.307342529,157.738296875,50.2126846313
214.428497314,240.382873535,188.619888306,214.282791138,248.290710449,157.735171875,50.2126197815
214.872146606,241.674987793,188.657287598,214.284164429,248.291763306,157.75403125,50.2117767334
218.342971802,244.675292969,193.444961548,216.908691406,248.276321411,160.601375,50.2108840942
223.067520142,249.967880249,197.357406616,221.87727356,248.283172607,164.42334375,50.2081680298
221.298751831,247.822006226,196.063980103,220.010284424,248.277099609,163.659875,50.2048873901
